libc_gettime_clock-MONOTONIC_RAW                       : #winners:   0;    52596     54552     60220     42273     45174     52077     51944     42595     55990     47920     62076     41849     46818     47554     39279     52462     47062     54108     53014     41040     39856     22122     52781     47954     57056     56689     44293     44603     49026     46489     50998     26112  
libc_gettime_clock-UPTIME_RAW                          : #winners:   0;    54399     48062     54934     51539     67773     46108     59490     33923     48046     53465     63785     45436     44830     54207     54356     44167     50061     56022     42852     33096     39419     42357     41549     57418     54624     50029     46432     56595     48003     54451     33992     28830  
plat_apple::gettime_nsec_np_clock-UPTIME_RAW_APPROX    : #winners:   0;   412910    374863    424619    419032    393685    336955    344946    285646    394816    359936    390037    404755    375900    465252    441897    437386    327928    354331    459604    246274    336091    378489    315189    384175    368117    375381    369848    418345    448756    427237    433186    337647  
plat_apple::mach_absolute_time_ticks-None              : #winners:   0;    52079     57022     53528     48839     47399     52432     51713     47985     44175     52591     62532     54107     46293     17187     44700     63274     39407     65779     71609     38628     55582     51236     33595     48514     64492     47883     42669     52425     49409     46832     54589     54091  
plat_apple::gettime_nsec_np_clock-REALTIME             : #winners:   0;    53867     48268     47262     49960     55152     45103     54084     61858     43097     43692     60057     40431     49627     69928     51713     45655     51174     46216     45632     65029     52729     48828     49189     52775     61256     57686     53827     62726     48415     47461     54631     12754  
libc_gettime_clock-MONOTONIC_RAW_APPROX                : #winners:   0;   404358    375237    397775    380729    353582    413612    542098    363639    365965    417065    364049    476123    403561    315200    354299    389252    426259    387055    361318    393009    446383    301768    443209    426070    318290    335275    251240    363459    358947    398966    339761    364555  
plat_apple::gettime_nsec_np_clock-MONOTONIC_RAW        : #winners:   0;    49945     56400     61192     51597     50343     50973     55502     52927     49282     63807     37672     52746     47496     54320     66923     57617     50950     65625     51377     29696     44152     42838     61199     47238     66693     50932     52730     56345     40588     49945     58622     30184  
libc_gettime_clock-MONOTONIC                           : #winners:   0;    50822     57729     64542     48921     20633     44866     53540     57819     57351     60934     48661     46426     51715     62913     37712     54743     52795     62942     55317     45961     46734     49667     46573     81715     52131     36045     63823     36464     56162     54146     44393     47539  
instant-None                                           : #winners:   0;    53156     62006     44998     49577     56090     65243     46116     44708     64992     46615     72076     50840     48615     57250     55357     49805     18879     49711     70679     32838     48011     37182     47337     61719     60611     45469     48352     56136     54528     67199     55118     38517  
plat_apple::gettime_nsec_np_clock-MONOTONIC            : #winners:   0;    60411     54412     50128     53637     48182     55064     48656     58752     39906     44471     62878     65514     50279     54442     62858     47869     51413     53666     51287     41402     52248     49651     52055     59612     47446     27519     48912     55511     51811     55202     55261     37730  
plat_apple::gettime_nsec_np_clock-MONOTONIC_RAW_APPROX : #winners:   0;   361228    416570    490765    333012    336304    379470    359153    398656    463828    325987    375466    407159    383377    400571    380381    464841    382159    386493    392138    354837    370530    366426    432785    394201    419802    408906    351474    400273    438462    370864    402593    369246  
libc_gettime_clock-UPTIME_RAW_APPROX                   : #winners:   0;   386005    422779    332183    344635    419398    398074    422516    400592    364107    382489    315728    370973    438541    450137    373215    409758    334909    456894    444221    384415    368678    371357    389900    328497    316927    332704    373624    389494    349001    371968    450779    357150  
libc_gettime_clock-REALTIME                            : #winners:   0;    55355     49727     53934     53873     52961     54777     53143     32478     63888     45765     42285     45362     43852     55128     51021     47182     58369     57623     61225     27993     48068     45961     44111     50969     61260     42916     51651     52520     45955     49969     40980     40990  
plat_apple::gettime_nsec_np_clock-UPTIME_RAW           : #winners:   0;    65837     43789     51504     61028     46678     53130     62645     60036     39954     51445     50367     40402     49286     44841     52897     47487     52119     50792     43055     40374     43208     51427     52327     55375     56564     52211     48333     67702     55825     69526     61525     49439  
libc_gettime_clock-THREAD_CPUTIME                      : #winners:  12;    15255 *   16633     15490     13030 *   16706     15272     14659 *   14103 *   15934     16242     17040     14415     16009     15592 *   14290     13632 *   13869 *   16226 *   17144      8033     14469 *   11388     14648 *   14265     17767     13131     13656 *   16347     14197 *   14537     13865      7653  
plat_apple::gettime_nsec_np_clock-THREAD_CPUTIME       : #winners:  20;    15942     16397 *   15024 *   14763     15761 *   14801 *   15800     15783     14095 *   14966 *   15316 *   13302 *   15224 *   16723     13825 *   14665     14826     16624     15328 *    7255 *   15648     10572 *   16097     13711 *   17435 *   12809 *   15046     15637 *   15476     14474 *   12569 *    6371 *
libc_gettime_clock-PROCESS_CPUTIME                     : #winners:   0;   803593   1100224    883463   1003215   1007069    832791    950282    777199    989472   1058625    907244    773113    923707    956493   1025148   1086757    806504    966668    923162    895068   1053738    816756    827043   1002230    813043    932583    907854   1161129    766962    884858   1108805    780784  
plat_apple::gettime_nsec_np_clock-PROCESS_CPUTIME      : #winners:   0;   804535    930557    765790    926829    936514    914943    931321    778664    927925    920897    995074    930339   1060426    904729    823904    767977    902009   1071341    955712    667522    898418    577408    969402    706583    908008    914753    714633    854609    910933    919174    998050    991968  
